number,name,type,writeable,width
0,system/magic,RESERVED,false,32
1,system/ascversion,RESERVED,false,32
2,system/scratch,CFG,true,32
3,system/bitstream_id,STS,false,32
4,system/platbrd_id,STS,false,32
5,system/fpga_id,STS,false,32
6,system/mac_baseadr_l,CFG,true,32
7,system/mac_baseadr_h,CFG,true,32
8,system/mac_numalloc,CFG,true,32
9,system/eeprom_ctl,CFG,true,32
10,system/uptime,COUNTER,true,32
11,system/device_temp,cfg,true,32
24,sem/status,CFG,true,14
25,sem/command_busy,STS,false,1
26,sem/command_strobe,CFG,true,1
27,sem/command_code_lo,CTL,true,32
28,sem/command_code_hi,CTL,true,12
32,hermes/ctl,CFG,true,32
33,hermes/fpgamac_l,CFG,true,32
34,hermes/hostmac_l,CFG,true,32
35,hermes/fhmac_h,CFG,true,32
36,hermes/fpgaip,CFG,true,32
37,hermes/hostip,CFG,true,32
64,phy/ap[1]/phy_config,CFG,true,32
65,phy/ap[2]/phy_config,CFG,true,32
66,phy/ap[3]/phy_config,CFG,true,32
67,phy/ap[4]/phy_config,CFG,true,32
68,phy/ap[5]/phy_config,CFG,true,32
69,phy/ap[6]/phy_config,CFG,true,32
70,phy/ap[7]/phy_config,CFG,true,32
71,phy/ap[8]/phy_config,CFG,true,32
72,phy/ap[9]/phy_config,CFG,true,32
73,phy/ap[10]/phy_config,CFG,true,32
74,phy/ap[11]/phy_config,CFG,true,32
75,phy/ap[12]/phy_config,CFG,true,32
76,phy/ap[13]/phy_config,CFG,true,32
77,phy/ap[14]/phy_config,CFG,true,32
78,phy/ap[15]/phy_config,CFG,true,32
79,phy/ap[16]/phy_config,CFG,true,32
80,phy/ap[17]/phy_config,CFG,true,32
81,phy/ap[18]/phy_config,CFG,true,32
82,phy/ap[19]/phy_config,CFG,true,32
83,phy/ap[20]/phy_config,CFG,true,32
84,phy/ap[21]/phy_config,CFG,true,32
85,phy/ap[22]/phy_config,CFG,true,32
86,phy/ap[23]/phy_config,CFG,true,32
87,phy/ap[24]/phy_config,CFG,true,32
88,phy/ap[25]/phy_config,CFG,true,32
89,phy/ap[26]/phy_config,CFG,true,32
90,phy/ap[27]/phy_config,CFG,true,32
91,phy/ap[28]/phy_config,CFG,true,32
92,phy/ap[29]/phy_config,CFG,true,32
93,phy/ap[30]/phy_config,CFG,true,32
94,phy/ap[31]/phy_config,CFG,true,32
95,phy/ap[32]/phy_config,CFG,true,32
96,phy/ap[33]/phy_config,CFG,true,32
97,phy/ap[34]/phy_config,CFG,true,32
98,phy/ap[35]/phy_config,CFG,true,32
99,phy/ap[36]/phy_config,CFG,true,32
100,phy/ap[37]/phy_config,CFG,true,32
101,phy/ap[38]/phy_config,CFG,true,32
102,phy/ap[39]/phy_config,CFG,true,32
103,phy/ap[40]/phy_config,CFG,true,32
104,phy/ap[41]/phy_config,CFG,true,32
105,phy/ap[42]/phy_config,CFG,true,32
106,phy/ap[43]/phy_config,CFG,true,32
107,phy/ap[44]/phy_config,CFG,true,32
108,phy/ap[45]/phy_config,CFG,true,32
109,phy/ap[46]/phy_config,CFG,true,32
110,phy/ap[47]/phy_config,CFG,true,32
111,phy/ap[48]/phy_config,CFG,true,32
112,phy/ap[49]/phy_config,CFG,true,32
113,phy/ap[50]/phy_config,CFG,true,32
114,phy/ap[51]/phy_config,CFG,true,32
115,phy/ap[52]/phy_config,CFG,true,32
116,phy/ap[53]/phy_config,CFG,true,32
117,phy/ap[54]/phy_config,CFG,true,32
118,phy/ap[55]/phy_config,CFG,true,32
119,phy/ap[56]/phy_config,CFG,true,32
120,phy/ap[57]/phy_config,CFG,true,32
121,phy/ap[58]/phy_config,CFG,true,32
122,phy/ap[59]/phy_config,CFG,true,32
123,phy/ap[60]/phy_config,CFG,true,32
124,phy/ap[61]/phy_config,CFG,true,32
125,phy/ap[62]/phy_config,CFG,true,32
126,phy/ap[63]/phy_config,CFG,true,32
127,phy/ap[64]/phy_config,CFG,true,32
128,phy/ap[65]/phy_config,CFG,true,32
129,phy/ap[66]/phy_config,CFG,true,32
130,phy/ap[67]/phy_config,CFG,true,32
131,phy/ap[68]/phy_config,CFG,true,32
